id,followers_count,friends_count,screen_name
1428008881,1,222,Adogagisssmikel
794667232240472064,1,24,hamza_baaj
794665374319001600,15,66,SlalbilA
794666808360009728,10,133,oussama_maache
4706802941,32,199,Abed4Basel
794666344234905601,5,98,ouchenir_amine
794666491488694272,16,109,cabritinho007
794611255982039041,4,183,JoseViz14015846
794316966630662144,29,172,FearsomeFirmino
794665454426091520,11,71,Laarbi44281359
794666217445457920,17,120,Youssef21829358
794666529967263744,2,22,incline_inc
794664692937555975,32,381,jabir88el
794665961760653314,1,22,liku12345
794665109079621632,2,64,GlobalSurfhouse
794666154631561216,1,72,lapluit77
760558792572559360,6,4,mehmethfz93
794663047889584128,2,14,ordanita68
125537832,101,172,ewmooreandco
793566552465346560,10,163,Restuadhi5
794665287949881344,2,80,SanaeGeetmaan
745589272326070272,101,261,WadAlseir
794663771822297092,2,97,yolgerpirela6
794665759007997952,3,23,onokoko_gedeon
794664283812593664,4,182,robinayselmasum
794663782786170881,1,86,hanaetagh
794664599261941761,0,70,ihssane_loutfi
794664140350586881,27,146,nnadisonemma
794664589459947520,0,66,AdnatiHajar
794664464423518209,7,90,mehdihata
794663643426201600,0,26,abdi_ahmedyare
794663240659660802,1,40,adrianlowkalok
794663346024939520,3,25,cr31149363_cr7
577657102,505,2380,mixhelp
2204672832,5,369,TMurape
794662707404406789,8,104,My_LovelyLittle
794645572972068864,0,32,ThomasM60978184
1882205826,3,440,CooDale
794661672585674752,84,450,oliver2468twist
2383764273,36,97,4_Choice
794662868432154624,1,30,katherinaolive4
794660929506017284,4,96,TeresitaUlloa3
3289967173,151,2373,_FamilyFortunes
2851043973,65,187,ByronFelix5
794591765479165953,11,97,steviej_92
794662223192985600,12,33,jerrytheberry80
794659841679749122,13,118,Prince88967720
794662124085710848,3,42,adnanejazouli
794614787657371649,4,36,JamesDarbyshir5
794661680936525825,2,29,dupuis_madalyn
794662092871729152,21,207,skoooori
794657649484775430,52,342,mac_paean
794661553865949184,17,226,mills_bradlee
794660309512388612,2,7,Lunathi_Xotyeni
1270733839,9,89,RushanLivoreka
3407220160,29,181,a_allam319
794661230506078209,1,30,melissadebissc2
794660461782384640,5,92,le_marocain_212
794655172148559874,4,39,abdoessmat2
794605416416182273,26,177,LeePetitT0NY
1411087308,18,216,Nadim123833
794660446544465920,0,21,HIDEAWAYRJB
794660363023302656,6,21,Jamiesm93943127
794660020000620544,5,109,maiconnoronha1
794660267418329089,2,53,pease_claudette
794659394386587648,10,91,elhouariyouss
794660079442096129,10,89,jaidynpowell17
1558734505,525,491,AM33R_ALI
794659282679631872,8,44,anghamino
794321318778839040,44,428,TataCasino
794659188341440512,6,107,h_alkrdi
794659625366917120,2,61,Lucasarnold699
794659708003086341,2,21,jonellis90876
794659251130171393,33,99,marwan_rguibi
794658701663674368,5,57,KaanShevket
794658350810206208,1,30,AmodeKatharyn
794658694202003456,7,101,Ceguinho01
794658742348447744,2,60,ClartixTuto
794658461044928516,5,119,rohlajs98
794658344778797056,0,79,Hicham1231233
1973997920,43,463,Dreeqzie_berry
794658367763529728,0,2,JulieBrookes7
726616518306467840,14,24,itallootorres5
794658319185149952,14,99,diae822007
794658261840625664,9,117,DorianAlvarad11
794650773510647808,12,136,OliverBozinovs1
794656503873540097,2,28,Alex_MP07
794657540927787008,2,111,nourdaineoujdi
794657828254453765,4,61,ArnoldH84728937
791216230036283392,4,149,Yusuf1musa
794657963852070912,17,42,Simo27398705
794657357473185792,4,111,DelTouhami
794656121734754304,2,71,JFarssioui
794656032056340480,30,90,CoelhoMiryan
794548656296890372,17,278,Dana5Leo
794657156259807232,2,111,dennisdavis1401
794652039255097344,3,117,LghafourLhad
794656895277613056,29,186,MensahE75434771
794657025586294785,1,36,AdhamFliyou
703204159,1123,2370,niamhkehoe95
794656858191626240,3,38,MortadaDounia
794652604907352064,1,5,AbdullahiSidiq
794656178236178432,16,89,parrado_andres1
794656660463751169,1,31,Dylanho80588169
793076606130593792,23,73,annekbryne1
794656002167754752,3,67,MohamedAkenkar
794654968968056832,2,78,FcqJ7ecOZIsxVy0
793514253357547520,19,238,mendozambrano11
794655989819736066,5,63,RowleyBoyScoots
794655564387287041,7,89,wahbalsalem
794651345655500800,5,159,VipperKing03
794655323135078400,6,99,Q_Savage23
794655610545573888,4,74,meryemellaili
794144608334839808,24,164,ToledoVgs
794570616221433856,38,230,diego_23_12
794654315847749633,1,21,miladavorobeva5
794654018840694784,6,84,Ethan123xl
769954807075307520,13,87,diky_agustin
794647197434384385,3,107,everandresgarc1
794654601979002880,4,118,carlosjam566
792144858496499712,8,42,Geraldocr11
968615329,33,86,AnslemOkonoboh
794649473658028032,2,34,Sholin_07
2716881971,15,96,nash_gift
794654377361494017,57,145,Hamza21161587
794653791752687622,6,81,ouijdanoe
794653858790252546,4,22,queenamenaaaa
794653793422077953,12,74,lupercioxxx
4870884248,17,329,JulioBarrera30
733017212366262273,41,442,Olifrt19
794653843623739394,30,129,ConnorW64745263
2320614663,3,167,JSBrowder
792319802719207424,10,47,adamriley1006
710439886281707520,38,220,Massaliou224
794651871726206978,35,165,GhitaLoubane2
794369792933249032,7,110,amon_ncube
624096442,6,73,BjrnKildal
4470568469,49,104,zw_peter
794650840577417216,0,154,deniprast85
794652562628681728,1,40,vivekku85507236
794652709936910336,0,20,LouayaNada
794652480646823936,8,40,ibtissame_segh
794652579766693888,0,11,adibrooks260780
767460211162578944,55,224,NazarenoLezcan2
794650916720902144,2,90,5RYe3O0aYJLWM2E
794652160516571136,12,53,joshyboy115
784896836159074304,5,44,KatieCaddell8
794651823139262464,7,59,parth_forever70
794650464906280961,0,72,SamiMariaOrteg1
794651624539045888,46,375,wadielachger
1485761814,3,211,bazonto
203983655,117087,10584,BrashGames
794651026972442625,15,79,abdiyazzy
794651021456904192,5,41,Thibaaa_
771635758050324480,3,157,lolosaif270
794649777547919362,1,5,GoffeyAlan
773780559889854464,16,66,wayneroche5
794650068972400641,7,44,Yahyahaytam86g3
794034011379290112,170,1368,MatsSpecial2
794649807906283521,10,75,SaadWac11
810467851,28,139,arunwagley
2699243331,44,473,PokuBosompem
3533398998,1133,249,GentaRamadhan30
794641056197386240,1,18,barkby_gillian
765880748150775812,75,254,Just_ChillRob
4034986156,23,51,MedAlahiane
793758509879922688,23,143,Mohamed56619695
794648760647380992,56,219,Allybbob11
757553727955951617,7,96,amara_hommadi
794262633520066560,2,82,HBareman
4878466931,9,203,AbdoMady74
794606956891672576,99,1087,angelRogerh9805
305255299,74,1336,abouroua
794648974741434370,10,173,Hamdounabdalla2
3402492719,4,10,johnbrading87
794648555080318976,13,102,Iewistwd
794648207649341442,9,138,nouamane_sermak
1025592306,13,117,Saraphim_
794648108642795520,20,231,Dame9822
794648108131041281,0,19,nh68s99
794648501372256256,5,178,fuseiniadam19
